publishedAt,neg,neu,pos,compound
2019-04-02 17:32:01,0.0,0.962,0.038,0.2023
2019-04-02 17:36:48,0.0,0.957,0.043,0.2235
2019-04-02 18:00:42,0.056,0.827,0.117,0.6124
2019-04-02 18:03:36,0.119,0.881,0.0,-0.6901
2019-04-02 18:48:55,0.0,1.0,0.0,0.0
2019-04-02 19:04:53,0.106,0.809,0.085,0.0
2019-04-02 19:48:08,0.0,0.929,0.071,0.4404
2019-04-02 20:02:06,0.07,0.769,0.161,0.4215
2019-04-02 20:13:34,0.0,1.0,0.0,0.0
2019-04-02 20:35:25,0.0,0.746,0.254,0.8822
2019-04-02 20:35:53,0.0,1.0,0.0,0.0
2019-04-02 20:58:23,0.128,0.872,0.0,-0.5719
2019-04-02 21:09:00,0.103,0.842,0.055,-0.3182
2019-04-02 21:10:12,0.08,0.841,0.08,0.25
2019-04-02 21:25:00,0.0,0.924,0.076,0.5106
2019-04-02 21:35:19,0.0,0.791,0.209,0.8425
2019-04-02 22:12:42,0.0,1.0,0.0,0.0
2019-04-02 22:32:56,0.076,0.924,0.0,-0.4939
2019-04-02 22:37:44,0.178,0.822,0.0,-0.8591
2019-04-03 00:00:00,0.0,0.839,0.161,0.743
2019-04-03 00:29:44,0.0,1.0,0.0,0.0
2019-04-03 00:32:49,0.057,0.847,0.095,0.2023
2019-04-03 01:48:05,0.0,0.746,0.254,0.8822
2019-04-03 02:40:07,0.0,1.0,0.0,0.0
2019-04-03 05:00:01,0.0,1.0,0.0,0.0
2019-04-03 06:36:34,0.0,1.0,0.0,0.0
2019-04-03 06:54:32,0.0,1.0,0.0,0.0
2019-04-03 09:32:23,0.0,0.869,0.131,0.6705
2019-04-03 09:50:31,0.0,1.0,0.0,0.0
2019-04-03 10:44:00,0.0,0.865,0.135,0.6808
2019-04-03 11:05:07,0.0,0.809,0.191,0.8016
2019-04-03 12:20:56,0.0,0.93,0.07,0.3612
2019-04-03 12:50:36,0.0,0.967,0.033,0.128
2019-04-03 12:51:49,0.0,0.884,0.116,0.6249
2019-04-03 12:59:43,0.063,0.831,0.106,0.2263
2019-04-03 13:00:00,0.04,0.826,0.133,0.6597
2019-04-03 13:05:19,0.0,0.773,0.227,0.875
2019-04-03 13:05:19,0.072,0.717,0.211,0.765
2019-04-03 13:30:00,0.0,0.867,0.133,0.3818
2019-04-03 13:58:49,0.0,0.867,0.133,0.7184
2019-04-03 14:49:16,0.0,0.817,0.183,0.743
2019-04-03 15:28:00,0.0,0.808,0.192,0.8074
2019-04-03 16:09:12,0.0,1.0,0.0,0.0
2019-04-03 16:25:05,0.0,0.96,0.04,0.128
2019-04-03 16:30:00,0.052,0.754,0.194,0.6808
2019-04-03 16:33:29,0.048,0.895,0.057,-0.1531
2019-04-03 16:50:00,0.0,0.948,0.052,0.296
2019-04-03 16:55:08,0.1,0.856,0.044,-0.4033
2019-04-03 17:09:00,0.0,0.743,0.257,0.7096
2019-04-03 17:44:07,0.0,0.877,0.123,0.743
2019-04-03 17:47:37,0.059,0.941,0.0,-0.296
2019-04-03 17:47:42,0.053,0.911,0.036,-0.1779
2019-04-03 17:58:00,0.0,0.727,0.273,0.9432
2019-04-03 18:29:41,0.167,0.833,0.0,-0.8316
2019-04-03 18:34:55,0.0,1.0,0.0,0.0
2019-04-03 18:34:55,0.0,1.0,0.0,0.0
2019-04-03 18:39:41,0.0,1.0,0.0,0.0
2019-04-03 18:39:58,0.065,0.717,0.217,0.7003
2019-04-03 18:39:58,0.0,0.927,0.073,0.4588
2019-04-03 19:31:26,0.073,0.64,0.287,0.8658
2019-04-03 19:57:00,0.0,0.955,0.045,0.2144
2019-04-03 20:38:41,0.066,0.868,0.066,0.0
2019-04-03 20:40:30,0.065,0.871,0.065,0.0
2019-04-03 20:52:06,0.065,0.871,0.065,0.0
2019-04-03 21:15:00,0.041,0.907,0.052,0.128
2019-04-03 21:15:00,0.043,0.902,0.055,0.128
2019-04-03 21:15:00,0.043,0.902,0.055,0.128
2019-04-03 21:15:00,0.043,0.902,0.055,0.128
2019-04-03 21:15:00,0.041,0.907,0.052,0.128
2019-04-03 21:57:05,0.0,1.0,0.0,0.0
2019-04-03 22:10:00,0.0,1.0,0.0,0.0
2019-04-03 23:10:00,0.0,0.944,0.056,0.25
2019-04-03 23:41:08,0.0,1.0,0.0,0.0
2019-04-03 23:43:40,0.111,0.889,0.0,-0.5423
2019-04-04 00:04:00,0.129,0.825,0.046,-0.4767
2019-04-04 00:39:47,0.0,0.958,0.042,0.2023
2019-04-04 00:43:51,0.0,0.817,0.183,0.8286
2019-04-04 01:18:44,0.0,0.918,0.082,0.34
2019-04-04 01:36:31,0.0,0.918,0.082,0.34
2019-04-04 01:44:40,0.0,0.769,0.231,0.6908
2019-04-04 04:00:39,0.064,0.936,0.0,-0.4215
2019-04-04 08:03:14,0.116,0.815,0.069,-0.4939
2019-04-04 08:21:31,0.109,0.843,0.049,-0.4019
2019-04-04 08:39:16,0.0,1.0,0.0,0.0
2019-04-04 10:00:04,0.032,0.853,0.115,0.4921
2019-04-04 11:21:40,0.063,0.834,0.103,0.2641
2019-04-04 11:28:11,0.0,0.948,0.052,0.2732
2019-04-04 12:00:00,0.0,0.949,0.051,0.296
2019-04-04 12:00:00,0.0,0.955,0.045,0.2144
2019-04-04 12:00:00,0.0,0.955,0.045,0.2144
2019-04-04 12:00:58,0.0,0.872,0.128,0.6908
2019-04-04 12:21:02,0.0,0.78,0.22,0.7906
2019-04-04 12:36:12,0.0,0.849,0.151,0.7184
2019-04-04 12:45:42,0.07,0.93,0.0,-0.4201
2019-04-04 13:11:16,0.168,0.766,0.067,-0.7246
2019-04-04 13:15:01,0.0,1.0,0.0,0.0
2019-04-04 13:15:01,0.0,0.87,0.13,0.7184
2019-04-04 13:17:54,0.063,0.712,0.225,0.765
2019-04-04 13:18:01,0.0,0.931,0.069,0.4404
2019-04-04 14:00:00,0.0,0.858,0.142,0.7783
2019-04-04 14:00:00,0.0,0.939,0.061,0.3818
2019-04-04 14:00:00,0.041,0.851,0.108,0.4215
2019-04-04 14:00:00,0.041,0.851,0.108,0.4215
2019-04-04 14:01:17,0.0,0.794,0.206,0.872
2019-04-04 14:05:50,0.0,1.0,0.0,0.0
2019-04-04 14:10:02,0.0,0.886,0.114,0.6486
2019-04-04 14:11:02,0.0,1.0,0.0,0.0
2019-04-04 14:20:00,0.0,1.0,0.0,0.0
2019-04-04 14:26:04,0.0,0.934,0.066,0.3818
2019-04-04 14:26:04,0.0,0.938,0.062,0.3818
2019-04-04 14:31:24,0.0,0.876,0.124,0.5859
2019-04-04 14:40:02,0.0,0.903,0.097,0.5574
2019-04-04 14:41:02,0.0,1.0,0.0,0.0
2019-04-04 14:42:27,0.165,0.764,0.071,-0.5672
2019-04-04 14:44:02,0.029,0.971,0.0,-0.0572
2019-04-04 14:55:02,0.119,0.83,0.051,-0.5267
2019-04-04 15:30:00,0.0,0.94,0.06,0.2732
